Identifiers,Values
Run1,1.49976528462196
Run1,1.2284636973914
Run1,1.3270825686883
Run1,1.17583937371614
Run1,1.55923116923098
Run1,1.26316563288896
Run1,1.08072945057778
Run1,1.33162177871758
Run1,1.51707489041935
Run1,1.03293427484576
Run1,0.871267495639445
Run1,0.664082910433016
Run1,1.04378447358855
Run1,1.01790359681112
Run1,0.799574588174858
Run1,0.963068119144812
Run1,1.30230226315911
Run1,1.25580648196412
Run1,1.36152887349627
Run1,1.50811850144887
Run1,1.45881046240479
Run1,1.61071730865325
Run1,1.67414586357512
Run1,1.43521333523433
Run1,1.35865888907828
Run1,1.70949874678903
Run1,1.45425584865405
Run1,1.87864147295756
Run1,1.75493906680188
Run1,1.4326714386892
Run1,1.56860958951653
Run1,1.67570044965006
Run1,1.6739544679475
Run1,1.88454766520755
Run1,2.01335529290477
Run1,2.03814990306005
Run1,2.00287476194316
Run1,2.08241776833426
Run1,1.85092243921832
Run1,1.77303592423572
Run1,1.89994573227183
Run1,1.85254937621543
Run1,2.02567811144346
Run1,2.1121913788063
Run1,1.93560852640645
Run1,1.75968835247151
Run1,2.16082402768781
Run1,1.84016385020453
Run1,1.73717987185104
Run1,1.96373050346622
Run1,1.6691258867378
Run1,1.97541000585596
Run1,1.65629076848623
Run1,1.63000891927873
Run1,1.84816940434588
Run1,2.15652631234612
Run1,1.59475712509228
Run1,1.79524864227214
Run1,2.32675519137282
Run1,2.18186487975394
Run1,2.1753615344918
Run1,2.10275971690942
Run1,1.88757863975038
Run1,1.71566174706436
Run1,1.85720640105618
Run1,1.57287085319784
Run1,1.7971189774072
Run1,2.12759061326649
Run1,1.84358131402453
Run1,2.1592990013676
Run1,2.28627458569935
Run1,2.00696929201646
Run1,1.82122420414207
Run1,1.91457793511028
Run1,2.3371934318348
Run1,2.23660642095488
Run1,2.33503752874921
Run1,2.31977360534388
Run1,2.22238909225082
Run1,2.19872265012154
Run1,1.99876934643077
Run1,2.01460831381561
Run1,1.89982445510525
Run1,2.05258662406711
Run1,2.07227949326835
Run1,2.38564330937976
Run2,1.32865103020301
Run2,1.59898184772932
Run2,1.31031254237754
Run2,1.57219665988239
Run2,1.86267595628179
Run2,1.05602403578003
Run2,1.20906813099682
Run2,1.28363652952884
Run2,1.25939934097298
Run2,1.37147685312013
Run2,0.845663847616082
Run2,0.58026047207043
Run2,0.51538126483165
Run2,0.705321259654508
Run2,1.41152768576604
Run2,1.82912842007575
Run2,1.19392499682402
Run2,1.63162758132927
Run2,1.5050533588653
Run2,1.24376817036733
Run2,1.51985048432674
Run2,1.43582803112962
Run2,1.39678160716306
Run2,1.73311847606936
Run2,1.66419987627055
Run2,1.52389770890894
Run2,1.73992220878258
Run2,1.40357914884163
Run2,1.52621335606471
Run2,1.62688264539339
Run2,1.53734929831077
Run2,1.69319214996622
Run2,1.53582937514785
Run2,1.58577677915626
Run2,1.54991866790024
Run2,1.82975301897924
Run2,2.07125121120947
Run2,1.93706568010502
Run2,1.90438842528666
Run2,1.67536316317507
Run2,1.70949045197364
Run2,1.92560293896726
Run2,1.83521766112008
Run2,1.92608876379426
Run2,1.72900264291556
Run2,1.96645693380001
Run2,1.62497754115712
Run2,2.2260655737616
Run2,2.0370032769376
Run2,1.99582417450419
Run2,1.49593081336541
Run2,1.77219935648949
Run2,1.54166205879658
Run2,1.29688316148764
Run2,1.6721505365055
Run2,1.57712019886554
Run2,1.61494116202399
Run2,1.63489923273517
Run2,1.57492076033281
Run2,1.61102986781168
Run2,1.73476789294011
Run2,1.67172901916404
Run2,1.78503542910249
Run2,1.67691390228817
Run2,1.57335055397431
Run2,1.54481005145041
Run2,1.6262376736553
Run2,1.5932818300463
Run2,1.88098689067209
Run2,2.07090107883113
Run2,2.22406093607656
Run2,1.90267346988975
Run2,2.24224204532532
Run2,1.95862782799098
Run2,1.84827029592346
Run2,2.0256641312212
Run2,2.18926118340524
Run2,1.76980294168777
Run2,1.76906492293073
Run2,1.98461484267128
Run2,2.30508786417653
Run2,1.85726013191583
Run2,1.83122632826624
Run2,2.12128328463256
Run2,2.11960619227241
Run2,1.95439159571338
