Identifiers,Values
A,1.82686396008095
A,1.91213520833579
A,1.9966665798926
A,1.87735069419899
A,2.03798087093043
A,1.91600570499505
A,1.73316927885194
A,1.91712286340384
A,1.99915512411112
A,2.09786319428939
A,1.77104393132001
A,1.92375137505405
A,1.87801892635243
A,2.01520843496996
A,2.13495688478169
A,2.09597430710187
A,1.8649771125548
A,2.01269364937659
A,1.89145027140087
A,2.0682213622831
A,2.02558992657989
A,2.0804042544486
A,2.07350404095779
A,2.2259231351813
A,2.19092839421763
A,2.262696052039
A,2.28428036281315
A,2.13354189774714
A,2.19215077554955
A,2.16042311538543
A,2.01622253824672
A,2.12187149152533
A,2.35662526254253
A,2.13027593976193
A,2.21816848383609
A,2.10392595945349
A,2.19020924326374
A,2.12129485617344
A,2.26851909285643
A,2.1479469959427
A,2.16502793667007
A,2.24919608474069
A,1.97632600987662
A,1.90398574791534
A,1.93758878602901
A,2.09649387254152
A,2.11851963523924
A,2.1326687548349
A,2.13125811070263
A,2.01321849970657
A,2.1528954534706
A,1.97817987987335
A,2.00575498552584
A,2.2706623042877
A,2.01463671181395
A,1.88208903760864
A,2.04985907994447
A,1.97429367772401
A,2.06759673810475
A,2.09154989625134
A,2.11863343640062
A,2.09964373919453
A,2.1296128389912
A,2.37751087056666
A,2.346848878127
A,2.09991519824347
A,2.18117464922873
A,2.48873668741458
A,2.22380447660379
A,2.13068127808362
A,2.0794686881816
A,2.42196503928393
A,2.36837760645899
A,2.2709234458708
A,2.10922693482522
A,2.29438043637571
A,2.20042842986137
A,2.13592732677644
A,2.18535460674453
A,2.36042102878585
A,2.34321614809596
A,2.32822299691287
B,2.14405576565241
B,2.03250881331742
B,1.86243240947575
B,1.91415932901878
B,2.04121075236189
B,1.89484963790925
B,1.98149366604548
B,1.97492655385859
B,1.86385913125088
B,2.10225140121498
B,2.04645840271977
B,1.93636642756483
B,2.10020837179995
B,2.18162070208459
B,2.54145150358658
B,2.05514891105321
B,1.8094913030591
B,1.91003650815941
B,2.06873531391339
B,2.14477809353502
B,2.21725175225228
B,2.13383958157394
B,2.36836907572921
B,2.23528302673931
B,2.28940724965038
B,2.29497501859764
B,2.41884544400656
B,2.33406734424079
B,2.43779691191053
B,2.12226721133692
B,2.15772794149166
B,2.29510788938474
B,2.41370525480947
B,2.18386905371969
B,2.09311517271343
B,2.10276071085488
B,2.16501341494369
B,2.17247349784994
B,2.35063016738198
B,2.15760223030029
B,2.20846392348286
B,2.21789136805084
B,1.98755124616527
B,1.98247343768548
B,2.08040792513333
B,2.14699350707011
B,1.91603582114316
B,1.98168629483188
B,2.23631392025271
B,2.05592446222103
B,1.92542820833319
B,1.86206080828529
B,1.92635201775909
B,1.94170857617377
B,1.75858809145614
B,1.91724812691684
B,1.98230344885017
B,1.94041033967618
B,2.20667198624822
B,2.21006813025017
B,2.20496622192834
B,2.1208000373874
B,2.22929878457707
B,2.44544260372267
B,2.41460305011627
B,2.32972391394517
B,2.23098645238109
B,2.41288579886945
