betapwr,run,side
0.250427524,1,1
0.277638973,1,1
0.303005974,1,1
0.322980253,1,1
0.334174556,1,1
0.334225802,1,1
0.322489999,1,1
0.300325199,1,1
0.270845966,1,1
0.238206878,1,1
0.206629267,1,1
0.179467038,1,1
0.15858529,1,1
0.14421153,1,1
0.135259417,1,1
0.129977972,1,1
0.126691976,1,1
0.124392416,1,1
0.123002312,1,1
0.123257546,1,1
0.126269539,1,1
0.132940056,1,1
0.143446088,1,1
0.156987334,1,1
0.171896995,1,1
0.186090219,1,1
0.197709047,1,1
0.205756445,1,1
0.210511634,1,1
0.213577264,1,1
0.217506566,1,1
0.225074553,1,1
0.238370737,1,1
0.257974281,1,1
0.2824908,1,1
0.308653985,1,1
0.332026626,1,1
0.348123201,1,1
0.353605184,1,1
0.347152895,1,1
0.329727806,1,1
0.304166889,1,1
0.274298705,1,1
0.243931769,1,1
0.216074413,1,1
0.192608556,1,1
0.174427656,1,1
0.161857838,1,1
0.155088637,1,1
0.154375047,1,1
0.159909865,1,1
0.171440279,1,1
0.187839875,1,1
0.206888905,1,1
0.225442862,1,1
0.240010117,1,1
0.247579176,1,1
0.246413293,1,1
0.23652152,1,1
0.21962883,1,1
0.198656445,1,1
0.176904946,1,1
0.157229567,1,1
0.141472759,1,1
0.130293819,1,1
0.123371873,1,1
0.11982889,1,1
0.118670761,1,1
0.119082184,1,1
0.120504202,1,1
0.122525601,1,1
0.124691279,1,1
0.126351794,1,1
0.126648594,1,1
0.124664095,1,1
0.119689181,1,1
0.111501276,1,1
0.100528961,1,1
0.087816283,1,1
0.07478044,1,1
0.06284684,1,1
0.053101882,1,1
0.046095378,1,1
0.041852985,1,1
0.040060099,1,1
0.040304488,1,1
0.042253896,1,1
0.045699204,1,1
0.050479131,1,1
0.056368486,1,1
0.063023092,1,1
0.070029662,1,1
0.077040045,1,1
0.08391903,1,1
0.090830351,1,1
0.098222705,1,1
0.106728028,1,1
0.117015713,1,1
0.129644668,1,1
0.144931044,1,1
0.162828656,1,1
0.182821184,1,1
0.20384912,1,1
0.224319326,1,1
0.242245889,1,1
0.255537181,1,1
0.262388324,1,1
0.261689027,1,1
0.253340386,1,1
0.238398487,1,1
0.219012763,1,1
0.198176104,1,1
0.179330746,1,1
0.165877316,1,1
0.16063157,1,1
0.1652866,1,1
0.179974043,1,1
0.20305607,1,1
0.231281001,1,1
0.260365438,1,1
0.285926255,1,1
0.304525493,1,1
0.314490406,1,1
0.316199352,1,1
0.311696912,1,1
0.303759315,1,1
0.294761749,1,1
0.285791594,1,1
0.276354672,1,1
0.264773755,1,1
0.249090848,1,1
0.228086381,1,1
0.202003167,1,1
0.172710387,1,1
0.143284903,1,1
0.117211293,1,1
0.097517749,1,1
0.086141891,1,1
0.083691461,1,1
0.089598998,1,1
0.102535911,1,1
0.120891391,1,1
0.143142196,1,1
0.16801913,1,1
0.19447737,1,1
0.221559087,1,1
0.24826562,1,1
0.273523403,1,1
0.296254422,1,1
0.315492901,1,1
0.330469318,1,1
0.340625682,1,1
0.345604864,1,1
0.345315465,1,1
0.340160661,1,1
0.331421797,1,1
0.321643859,1,1
0.314757608,1,1
0.315672293,1,1
0.329225821,1,1
0.35865748,1,1
0.404066644,1,1
0.461489466,1,1
0.52313924,1,1
0.578991677,1,1
0.619372537,1,1
0.637746548,1,1
0.632737038,1,1
0.608626726,1,1
0.574119252,1,1
0.53975324,1,1
0.514806332,1,1
0.504652413,1,1
0.509337855,1,1
0.523735994,1,1
0.539176633,1,1
0.546056434,1,1
0.536695496,1,1
0.507655372,1,1
0.460884303,1,1
0.403379411,1,1
0.345475995,1,1
0.298271429,1,1
0.270938836,1,1
0.268699976,1,1
0.292001017,1,1
0.33704371,1,1
0.397396025,1,1
0.466080698,1,1
0.537426156,1,1
0.608102961,1,1
0.67711189,1,1
0.744904428,1,1
0.812130371,1,1
0.878584285,1,1
0.942737608,1,1
1.001906525,1,1
1.05280883,1,1
1.092165978,1,1
1.117136561,1,1
1.125599443,1,1
1.116448361,1,1
1.089997455,1,1
1.048376335,1,1
0.99559864,1,1
0.937008156,1,1
0.878087146,1,1
0.82300586,1,1
0.773548986,1,1
0.728986237,1,1
0.687064154,1,1
0.645780987,1,1
0.605231775,1,1
0.568753025,1,1
0.542857197,1,1
0.535882646,1,1
0.555710202,1,1
0.607184055,1,1
0.689975616,1,1
0.79755019,1,1
0.917655657,1,1
1.034378226,1,1
1.131368534,1,1
1.195452235,1,1
1.219647528,1,1
1.204718889,1,1
1.158796517,1,1
1.095160412,1,1
1.02883056,1,1
0.972934074,1,1
0.935834772,1,1
0.919729505,1,1
0.920960893,1,1
0.931831773,1,1
0.943361779,1,1
0.948248249,1,1
0.943261392,1,1
0.930390979,1,1
0.916289744,1,1
0.909975071,1,1
0.919335901,1,1
0.947571257,1,1
0.990956847,1,1
1.039035172,1,1
1.077447889,1,1
1.092517637,1,1
1.07588129,1,1
1.027409175,1,1
0.955364626,1,1
0.873895104,1,1
0.798936626,1,1
0.744033147,1,1
0.717349009,1,1
0.720530942,1,1
0.74940619,1,1
0.796021304,1,1
0.851283973,1,1
0.907416888,1,1
0.959533804,1,1
1.005920878,1,1
1.047046737,1,1
1.083818073,1,1
1.115923575,1,1
1.141067336,1,1
1.155458348,1,1
1.155300134,1,1
1.138543067,1,1
1.106074207,1,1
1.061848038,1,1
1.011996877,1,1
0.963402658,1,1
0.922353531,1,1
0.893731723,1,1
0.880831996,1,1
0.885597102,1,1
0.908923767,1,1
0.950767292,1,1
1.009975075,1,1
1.083980226,1,1
1.168580881,1,1
1.257989491,1,1
1.345213235,1,1
1.422715087,1,1
1.483269047,1,1
1.520951054,1,1
1.532224825,1,1
1.517020289,1,1
1.479568265,1,1
1.428643326,1,1
1.376896851,1,1
1.339181788,1,1
1.330103891,1,1
1.361319645,1,1
1.439195479,1,1
1.563313995,1,1
1.726053502,1,1
1.913221961,1,1
2.105594276,1,1
2.28118051,1,1
2.418061824,1,1
2.497580798,1,1
2.50752915,1,1
2.444785751,1,1
2.316733456,1,1
2.140855187,1,1
1.942258197,1,1
1.749459226,1,1
