betapwr,run,side
0.031639872,1,1
0.037015803,1,1
0.042655804,1,1
0.04797193,1,1
0.052504088,1,1
0.055993753,1,1
0.058389052,1,1
0.05978331,1,1
0.060316351,1,1
0.060083434,1,1
0.059093036,1,1
0.057293064,1,1
0.054654884,1,1
0.051278553,1,1
0.047471601,1,1
0.043761344,1,1
0.040823743,1,1
0.039341415,1,1
0.039829482,1,1
0.042481954,1,1
0.047088779,1,1
0.053054695,1,1
0.059520731,1,1
0.065556637,1,1
0.070368394,1,1
0.073458556,1,1
0.07469229,1,1
0.074254516,1,1
0.072521935,1,1
0.069902823,1,1
0.066705344,1,1
0.063078686,1,1
0.059038437,1,1
0.054553209,1,1
0.049648262,1,1
0.044481112,1,1
0.039360928,1,1
0.0347079,1,1
0.030969739,1,1
0.028523458,1,1
0.027591088,1,1
0.028191239,1,1
0.030137764,1,1
0.033084629,1,1
0.036604194,1,1
0.040277577,1,1
0.043774226,1,1
0.046904426,1,1
0.049639875,1,1
0.052106526,1,1
0.054554976,1,1
0.057307827,1,1
0.060678901,1,1
0.064865373,1,1
0.069832623,1,1
0.075232926,1,1
0.080405908,1,1
0.084489033,1,1
0.086623771,1,1
0.086197374,1,1
0.083036789,1,1
0.077484724,1,1
0.070332505,1,1
0.062637037,1,1
0.055484176,1,1
0.049765381,1,1
0.046014732,1,1
0.04432699,1,1
0.044359645,1,1
0.045415603,1,1
0.046599174,1,1
0.047026033,1,1
0.04604701,1,1
0.043427397,1,1
0.039423681,1,1
0.034726237,1,1
0.030281768,1,1
0.027052976,1,1
0.025793683,1,1
0.026905423,1,1
0.030403607,1,1
0.035977472,1,1
0.043099501,1,1
0.051137879,1,1
0.059445954,1,1
0.067429387,1,1
0.074606748,1,1
0.080673453,1,1
0.08555784,1,1
0.089439025,1,1
0.09269701,1,1
0.095791743,1,1
0.099107139,1,1
0.102824244,1,1
0.1068845,1,1
0.111067271,1,1
0.11515402,1,1
0.119111809,1,1
0.123219496,1,1
0.128080614,1,1
0.134503165,1,1
0.143263976,1,1
0.154808477,1,1
0.168966207,1,1
0.184782419,1,1
0.200560216,1,1
0.214157841,1,1
0.223494032,1,1
0.227113647,1,1
0.22460979,1,1
0.216729031,1,1
0.205102632,1,1
0.191699052,1,1
0.178208079,1,1
0.165588818,1,1
0.153935226,1,1
0.142676185,1,1
