Identifiers,Values
A,1.55662661552029
A,1.20169651429725
A,1.21225301200901
A,1.33762863534313
A,1.23644515790126
A,1.06438407354998
A,0.83200555445958
A,0.741894715496525
A,0.940239231399827
A,0.975897198385951
A,1.18575818493479
A,1.38928586137161
A,1.25916318642186
A,1.46451278842925
A,1.39837447323348
A,1.32910035959316
A,1.4858554597661
A,1.54436314981693
A,1.53548727814512
A,1.6094083478387
A,1.58074457257465
A,1.68048798543994
A,1.66848988185482
A,1.74834817165285
A,1.67783142830152
A,1.68019973672134
A,1.74746731877104
A,1.68432682305963
A,1.65727503742733
A,1.59052830930368
A,1.7826085477418
A,1.9693072704418
A,2.00537740524949
A,2.11235142968527
A,1.83373007833958
A,1.80156787364543
A,1.82474984718209
A,2.00719783950884
A,1.9733670891101
A,1.93739206357802
A,1.88428569665678
A,1.91368622764955
A,2.04308733539536
A,1.99574956128611
A,1.89079706792827
A,1.98491474300344
A,1.71331468353963
A,1.85182194380604
A,1.68537399487798
A,1.50355551395282
A,1.8259408553651
A,1.82828395213226
A,1.65131727953119
A,1.75134122142118
A,1.91165819519681
A,1.94368406197859
A,1.89482860219643
A,1.83498024056783
A,1.73653064451192
A,1.83941857919313
A,1.7974852832334
A,1.66873687468966
A,1.77088899110341
A,2.00952577724569
A,1.97610416769467
A,2.03554341826815
A,2.126749191072
A,1.9823650844293
A,2.09281468961602
A,2.01751713445453
A,2.29657064918125
A,2.09926752062028
A,2.15248648441982
A,2.090098212651
A,1.95697449738604
A,2.19422350364082
A,2.08711043389542
A,1.92264113784585
A,1.93836544958504
A,2.2454576467812
A,2.08425702056847
A,2.16743850253915
B,1.73526792862873
B,1.40775229505174
B,1.41365419756748
B,1.51920787345163
B,1.40669774717788
B,1.31591918622048
B,1.0544548941494
B,0.968802128318659
B,1.05341129217972
B,1.10463690821259
B,1.33336584151211
B,1.72078138295025
B,1.36601618615026
B,1.66493564823092
B,1.74616579198055
B,1.6755990978876
B,1.78643837423799
B,1.8687945639292
B,1.71203213939937
B,1.65324733737994
B,1.71803743532989
B,2.12446063999913
B,1.98537902697109
B,1.91269731850062
B,1.83795017579376
B,1.91158054278143
B,1.949692825799
B,2.14014837931955
B,1.97516065674598
B,1.89433032193616
B,1.98345617940369
B,2.12817847870095
B,2.08418549011795
B,2.03058645307637
B,1.82150614163632
B,1.87830277432629
B,1.99329664177343
B,2.08953034013009
B,1.92797214840769
B,2.04087052893759
B,1.7981895953394
B,2.07383405827348
B,2.00408307121865
B,1.96210074619926
B,1.87490288155914
B,2.06299360237963
B,1.78959588801833
B,1.7590592914586
B,1.73429147191193
B,1.50790498678337
B,1.63708873505285
B,1.78591722949257
B,1.8071351527096
B,1.98863794601883
B,1.80554046069699
B,1.97033921309606
B,1.74168148738136
B,1.77761125203332
B,1.72726351059323
B,1.72573999111403
B,1.86487457794622
B,1.87125303508547
B,1.85313613920907
B,2.02001707506847
B,2.01761454004429
B,2.06184763481641
B,2.22803708077324
B,2.15224197154114
B,2.21624486589742
B,2.45178589965563
B,2.27323695624309
B,2.37155623758834
B,2.21775730830795
B,2.11743183664582
B,2.2121282180406
B,2.26519656992848
B,2.11966894971543
B,2.23338630094633
B,2.35573669515339
B,2.32525204660794
B,2.32792877664572
B,2.17455130929676
C,1.55233008187744
C,1.27088954395818
C,1.24046234079386
C,1.37108694679163
C,1.25891853394014
C,1.05903355486553
C,0.852887526844922
C,0.819661636067697
C,0.968152778419496
C,1.0011185032458
C,1.20895601994951
C,1.44248503632423
C,1.35289145080274
C,1.41877398722302
C,1.54537416504872
C,1.3492881495521
C,1.61717768811229
C,1.63447442787633
C,1.50999890010088
C,1.60163038719956
C,1.71391595525292
C,1.77818699417144
C,1.86111734624547
C,1.91739373490716
C,1.77742764180792
C,1.72693989794067
C,1.90048890218197
C,1.86218693407026
C,1.85040309317991
C,1.70205985459702
C,1.94626348727051
C,2.12062550892314
C,2.12767467076196
C,1.96141928393543
C,1.95356053089648
C,1.90454809067027
C,2.08744797298049
C,2.26793138173574
C,2.18627812243304
C,1.97634473810342
C,1.85098391260465
C,1.98424053206624
C,1.99113411033916
C,2.03297993855215
C,2.10636070526339
C,1.91121783696397
C,1.81588019431008
C,1.92269474164594
C,1.8210589810583
C,1.54521169008958
C,1.86748380747629
C,1.91965877887357
C,2.10696860429749
C,1.75661476815045
C,1.89870454807393
C,2.13871197253496
C,2.11654775631282
C,1.96472148498132
C,1.82706847918948
C,1.90079969381716
C,1.88507438567183
C,1.91315198440488
C,1.94367587863881
C,2.14403313658526
C,2.10817511861092
C,2.08564831256201
C,2.03156581463554
C,2.09734493979141
C,2.14482884813779
C,2.29109867157999
C,2.10529620342566
C,2.22216273374962
C,2.11815549933793
C,1.9516993283054
C,2.0072888855062
C,2.15838750006279
C,2.2383635999251
C,1.99870568329119
C,2.05339961862066
C,2.32837516472087
C,2.37731780884637
C,2.20422689739765
D,2.32966200490778
D,2.42538571572818
D,2.13057626726596
D,2.03215048876002
D,2.11794244740699
D,2.17247352694794
D,2.37575976918281
D,2.04787155932081
D,2.04547912437291
D,1.91634443334601
D,2.28475857779538
D,2.22882086020022
D,2.08244808642801
D,2.2335201001717
D,2.05337419608237
D,2.11367444352308
D,2.15988935093365
D,2.13525316859264
D,2.22225101179666
D,2.15539063391139
D,2.11966058065748
D,2.4611638933107
D,2.426690762324
D,2.26894338392381
D,2.20453801531611
D,2.33522870731207
D,2.10026204699009
D,2.32695732402394
D,2.39401417626441
D,2.32138558600885
D,2.39320456948001
D,2.44992332842874
D,2.38566033116026
D,2.33566292170878
D,2.43091284175553
D,2.43916981602781
D,2.24001949506965
D,2.36329549506026
D,2.46777558196456
D,2.35135134316294
D,2.25415752387347
D,2.51711545989837
D,2.19289906487463
D,2.25929865498963
D,2.25573591819553
D,2.04230341522573
D,2.31068271018508
D,2.34482391043275
D,2.37951317514147
D,2.19453030411051
D,2.1702859152567
D,2.23307567928866
D,2.20459377146429
D,2.34399055442744
D,2.51484783344477
D,2.38067623639525
D,2.21577955762515
D,2.28427185018276
D,2.34366848403326
D,2.51043975782053
D,2.46358233794444
D,2.31794235233714
D,2.48869447299354
D,2.43921273805646
D,2.44710880047623
D,2.47963530188404
D,2.36021503532734
D,2.33174335192775
D,2.34060772039423
D,2.3815506998688
D,2.43063111132328
D,2.3348274960127
D,2.61303797143059
D,2.42313611436271
D,2.36689168864979
D,2.46600902014031
D,2.34158992483845
D,2.454627736539
D,2.36779140442128
D,2.33611721508051
D,2.28111787306176
D,2.3490473980037
E,1.76657344369792
E,1.64762534955946
E,1.28854966986668
E,1.279463469789
E,1.21308231395536
E,1.45273946980871
E,1.30024431645901
E,1.02897153675923
E,1.25709193100493
E,1.24172188149932
E,1.45626663195405
E,1.50477377505997
E,1.50305024821436
E,1.71299864964811
E,1.70526343928456
E,1.75945350800823
E,1.82969388439641
E,1.87834161974707
E,1.91054384735004
E,1.9154527089502
E,2.01965318684273
E,1.84807982523341
E,1.8803441535431
E,2.00288931211836
E,1.81860596991598
E,2.07145451356894
E,2.05813127403993
E,2.04483111269324
E,2.1659029733826
E,2.16147610991962
E,1.96685895938884
E,2.23979200520201
E,2.27149654046581
E,2.00628993270422
E,1.87258103096793
E,2.03200755834338
E,2.26140249168703
E,2.1367655270856
E,2.05093797419824
E,2.2336532356126
E,1.93830140218205
E,1.98424282573511
E,1.98714230095275
E,1.88264752895813
E,2.06428633033629
E,2.16046375375051
E,2.11153676001032
E,2.05983217155224
E,2.07404153440027
E,2.02908008076058
E,1.87629266417179
E,1.91285024857895
E,2.24484992435454
E,2.0809420050087
E,2.00987027837979
E,2.00621726663224
E,2.13061707183287
E,1.96801460653965
E,1.91670411510997
E,2.01129046654749
E,2.01100728227596
E,2.05811896677038
E,2.14473015225524
E,2.23046755175482
E,2.10465542148499
E,2.142716823185
E,2.23722904312163
E,2.35311345450863
E,2.32595080778203
E,2.32116471524475
E,2.36813553343519
