betapwr,Run,Chan
1.57305109905765,1,ZERO_THREE_LEFT
1.45497262185551,1,ZERO_THREE_LEFT
0.997501537853926,1,ZERO_THREE_LEFT
1.45852009948375,1,ZERO_THREE_LEFT
1.25405249568405,1,ZERO_THREE_LEFT
1.17428371922728,1,ZERO_THREE_LEFT
1.55604920335172,1,ZERO_THREE_LEFT
1.66708042618253,1,ZERO_THREE_LEFT
1.3627797861115,1,ZERO_THREE_LEFT
1.23914150852601,1,ZERO_THREE_LEFT
1.62725514548235,1,ZERO_THREE_LEFT
1.33093609835223,1,ZERO_THREE_LEFT
1.74948181552028,1,ZERO_THREE_LEFT
1.65333648809536,1,ZERO_THREE_LEFT
1.61489184329643,1,ZERO_THREE_LEFT
1.40939739055423,1,ZERO_THREE_LEFT
1.34870209531256,1,ZERO_THREE_LEFT
1.13954260755729,2,ZERO_THREE_LEFT
1.82584999606878,2,ZERO_THREE_LEFT
0.995626715725076,2,ZERO_THREE_LEFT
1.41631858193114,2,ZERO_THREE_LEFT
1.25668865215898,2,ZERO_THREE_LEFT
1.46414130826496,2,ZERO_THREE_LEFT
1.4803502189896,2,ZERO_THREE_LEFT
1.2967357178516,2,ZERO_THREE_LEFT
1.29240136383522,2,ZERO_THREE_LEFT
1.4841704850199,2,ZERO_THREE_LEFT
1.46855228389187,2,ZERO_THREE_LEFT
1.35105792378067,2,ZERO_THREE_LEFT
1.4180744927091,2,ZERO_THREE_LEFT
1.84030141942427,2,ZERO_THREE_LEFT
1.28881189114654,2,ZERO_THREE_LEFT
1.44930995295106,2,ZERO_THREE_LEFT
1.325944298602,2,ZERO_THREE_LEFT
1.11349031329668,3,ZERO_THREE_LEFT
0.97990373232169,3,ZERO_THREE_LEFT
1.17134086428134,3,ZERO_THREE_LEFT
1.09373671168034,3,ZERO_THREE_LEFT
1.23739731788328,3,ZERO_THREE_LEFT
1.55640900269388,3,ZERO_THREE_LEFT
1.13831846311,3,ZERO_THREE_LEFT
1.57059441915012,3,ZERO_THREE_LEFT
1.49204161345203,3,ZERO_THREE_LEFT
1.21856175127589,3,ZERO_THREE_LEFT
1.3241611760697,3,ZERO_THREE_LEFT
1.85585304238118,3,ZERO_THREE_LEFT
1.51120605910245,3,ZERO_THREE_LEFT
1.79400856521742,3,ZERO_THREE_LEFT
1.26572116079132,3,ZERO_THREE_LEFT
1.09174144438013,3,ZERO_THREE_LEFT
1.33786546048333,3,ZERO_THREE_LEFT
1.64427242147276,1,ONE_THREE_LEFT
1.67038507478671,1,ONE_THREE_LEFT
1.25043722672262,1,ONE_THREE_LEFT
1.62000294846168,1,ONE_THREE_LEFT
1.47902220158028,1,ONE_THREE_LEFT
1.48007967554284,1,ONE_THREE_LEFT
1.7153911144178,1,ONE_THREE_LEFT
1.53216826235743,1,ONE_THREE_LEFT
1.52001712001742,1,ONE_THREE_LEFT
1.43401908643129,1,ONE_THREE_LEFT
1.8331478348993,1,ONE_THREE_LEFT
1.46435695773207,1,ONE_THREE_LEFT
1.84474713216723,1,ONE_THREE_LEFT
1.89600086176307,1,ONE_THREE_LEFT
1.72484765447755,1,ONE_THREE_LEFT
1.58829731430679,1,ONE_THREE_LEFT
1.63729238388582,1,ONE_THREE_LEFT
1.60115938289876,2,ONE_THREE_LEFT
1.55471903739811,2,ONE_THREE_LEFT
1.21325859804211,2,ONE_THREE_LEFT
1.56009506082458,2,ONE_THREE_LEFT
1.61259114006011,2,ONE_THREE_LEFT
1.9019372791829,2,ONE_THREE_LEFT
1.73539250422441,2,ONE_THREE_LEFT
1.25407652314417,2,ONE_THREE_LEFT
1.69970335013305,2,ONE_THREE_LEFT
1.86417939417902,2,ONE_THREE_LEFT
1.51962535619181,2,ONE_THREE_LEFT
