Identifiers,Values
Run 2,1.66440564921805
Run 2,2.24488503768916
Run 2,2.05160470359419
Run 2,1.96209763853429
Run 2,1.48920602609506
Run 2,1.7838070544482
Run 2,1.51190004706559
Run 2,1.28473740182684
Run 2,1.70096477571554
Run 2,1.57829025231478
Run 2,1.63231384868413
Run 2,1.61485329971743
Run 2,1.58780828020423
Run 2,1.62973697071378
Run 2,1.7426083760167
Run 2,1.67995258799644
Run 2,1.74473387202179
Run 2,1.69487407703272
Run 2,1.55086269744446
Run 2,1.53542066500305
Run 2,1.65158340948617
Run 2,1.57978220499558
Run 2,1.95759172607419
Run 2,2.09927403095001
Run 2,2.17158471813253
Run 2,1.89134210018917
Run 2,2.29187491732745
Run 2,1.93679673262073
Run 2,1.84627335675467
Run 2,2.0670552568682
Run 2,2.1834932919763
Run 2,1.73124637222656
Run 2,1.78371731595842
Run 2,2.03944594581178
Run 2,2.2823408348155
Run 2,1.88290930545379
Run 2,1.81168767369739
Run 2,2.1181191899357
Run 2,2.0510689451795
Run 2,2.00549042442532
Run 3,1.39449179443776
Run 3,1.28481451487683
Run 3,1.3139785049661
Run 3,1.39374276627711
Run 3,1.00158548195138
Run 3,0.885884749042817
Run 3,0.799354081465424
Run 3,0.995964261276453
Run 3,1.20617221316193
Run 3,1.18095585547785
Run 3,1.26013531812157
Run 3,1.45592095437425
Run 3,1.18893955870728
Run 3,1.47544637081966
Run 3,1.34789064859033
Run 3,1.26100736339047
Run 3,1.44009569660319
Run 3,1.58255620303181
Run 3,1.49360569310408
Run 3,1.71279961524645
Run 3,1.67582404352094
Run 3,1.8756018610838
Run 3,1.81085057921804
Run 3,1.91937959684447
Run 3,1.78829588414885
Run 3,2.03981649803123
Run 3,2.02281255483557
Run 3,1.75870183185202
Run 3,1.77272036830254
Run 3,1.26995707385706
Run 3,1.76164464133918
Run 3,1.95929014472026
Run 3,1.9767765879259
Run 3,2.29642912816685
Run 3,1.78554221443416
Run 3,1.93660342998456
Run 3,1.87116270406661
Run 3,2.18673120976804
Run 3,2.00344843191411
Run 3,1.81771577162139
Run 3,2.00411302290925
Run 3,2.01896729653136
Run 3,2.33696900996088
Run 3,1.95687630574055
Run 3,1.85179674708457
Run 3,2.05426966410404
Run 3,1.96047285454846
Run 3,1.82929122894319
Run 3,1.90350133333734
Run 3,1.57239707931734
Run 3,1.86586083568293
Run 3,1.79670343051051
Run 3,1.76328757997422
Run 3,1.76980627467544
Run 3,1.79519040375179
Run 3,2.07237348479277
Run 3,1.73480536075645
Run 3,1.71476664592798
Run 3,1.61929665169126
Run 3,2.10423594254649
Run 3,1.97899819728818
Run 3,1.88743199267233
Run 3,1.83818843355346
Run 3,2.3240325020938
Run 3,2.11596628684839
Run 3,1.82334449406195
Run 3,1.93816900005754
Run 3,2.06048411691306
Run 3,2.16992022389529
Run 3,2.15970984374866
Run 3,2.66686515847092
Run 3,2.0086543903702
Run 3,1.92139674996918
Run 3,2.20355803098498
Run 3,1.86370428047391
Run 3,2.40230596126754
Run 3,1.9597635005858
Run 3,1.85705803667992
Run 3,2.14267648227729
Run 3,2.53373674573824
Run 3,2.09454869470103
Run 3,2.1311647125269
